Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1K,HT-2K,T-min,As,Af,Ms,Mf,MsK,HT-1,HT-2,T,th
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,208,241,179,160,452,950,500,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,189,220,179,148,452,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,155,238,179,116,452,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,973,60,171,198,180,157,453,950,700,1,
17.5,50,0,0,25,0,0,0,0,0,0,0,0,0,7.5,0,0,0,1223,273,0,185,197,181,171,454,950,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1173,973,60,186,198,181,167,454,900,700,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,273,273,0,181,194,181,166,454,0,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,273,0,190,225,181,149,454,950,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,181,198,182,168,455,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,181,194,181,166,454,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,973,60,188,201,183,171,456,950,700,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,873,60,185,199,183,165,456,950,600,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,673,60,189,230,184,148,457,950,400,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,973,60,193,201,185,176,458,950,700,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,194,203,185,170,458,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,157,233,185,116,458,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,144,215,186,125,459,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,160,240,186,122,459,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,973,60,192,211,187,155,460,950,700,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,197,209,188,165,461,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,203,258,188,137,461,950,500,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,197,205,189,180,462,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,195,209,189,173,462,950,900,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,207,244,189,162,462,950,500,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,147,225,191,131,464,950,900,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,190,205,192,178,465,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,201,231,193,163,466,950,500,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,220,226,194,188,467,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,194,238,194,151,467,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,193,207,195,179,468,950,900,1,
