Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1,HT-2,T,As,Af,Ms,Mf
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,0.5,231,281,218,182
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,222,267,218,181
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,0.166,232,268,220,189
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,221,260,220,182
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,225,268,221,177
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,235,268,224,185
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,219,259,224,178
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,0.166,248,270,226,199
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,222,257,226,187
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,235,269,228,191
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,234,282,229,186
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,500,1,238,293,229,182
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,239,271,230,201
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,231,272,231,187
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,500,1,239,295,231,186
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,230,281,233,164
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,242,291,237,194
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,0.166,259,285,239,214
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,242,300,239,190
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,700,1,233,285,239,186
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,234,278,241,196
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,252,263,244,231
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,245,302,245,214
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,252,288,245,211
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,0,0,254,317,244,188
